"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"DEAD","BAIRD'S BEAKED WHALE","CA-OR-WA",2016,8,29,"VESSEL STRIKE","MARIN","CA","DEAD","THE DISTAL END OF THE PEDUNCLE AND THE FLUKES HAD BEEN SEVERED OFF, LIKELY PERIMORTEM. STANDARD LENGTH MEASUREMENT IS TO THE SEVERED PEDUNCLE. LIMITED NECROPSY DUE TO THE LEVEL OF DECOMPOSITION.","DEAD",NA,1,"N","Y"
"DEAD","BLAINVILLE'S BEAKED WHALE","CA-OR-WA",2016,10,9,"GILLNET FISHERY","CLALLAM","WA","DEAD","DETERMINED VIA EXTERNAL AND INTERNAL EXAM, HISTOLOGY. SEVERAL EVENLY SPACED (5CM BETWEEN EACH ""X"") CROSSHATCH MARKS ON FRONT OF ROSTRUM AND SIDES OF HEAD. THIN INDENTATIONS ON LEFT AND RIGHT SIDES OF BEAK THAT APPEAR TO WRAP AROUND BEAK. DIFFUSE BRUISING THROUGHOUT HEAD BLUBBER, SEVERE ON RIGHT SIDE BEHIND BLOWHOLE, WITH EDEMATOUS MUSCLE BENEATH. BODY BRUISING, PARTICULARLY ON ENTIRE VENTRAL SIDE OF THE ANIMAL AND ALONG THE TIPS OF THE DORSAL VERTEBRAL PROCESSES. EVIDENCE OF POSSIBLE DROWNING, CONFIRMED VIA HISTOLOGY. ALSO INGESTED 15CM LONG PIECE OF BLACK KNOTTED ROPE (3CM DIAMETER).","DEAD",NA,1,"Y","Y"
"DECLINE","BLUE WHALE","EASTERN N PACIFIC",2016,6,26,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","SAN DIEGO","CA","SI","TRAILING 2 RED BULLET BUOYS WITH PURPLE T6 CDFW DUNGENESS CRAB BUOY TAG; LINE WRAPPED THROUGH MOUTH OR AROUND PECTORAL FIN. GEAR WAS ORIGINALLY SET OFF SAN LUIS OBISPO IN 40 - 70 FATHOMS OF WATER. WHALE SEEN NEXT DAY, LOGGING AT SURFACE, WHICH IS ABNORMAL BEHAVIOR FOR A BLUE WHALE. UNSUCCESSFUL ATTEMPT AT DISENTANGLING WHALE. FULL CONFIGURATION OF GEAR UNKNOWN. THIS IS A SERIOUS INJURY BECAUSE OF THE NOTED HEALTH DECLINE OF THE WHALE.","SI","L10",1,"Y","Y"
"DECLINE","BLUE WHALE","EASTERN N PACIFIC",2016,7,14,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","LOS ANGELES","CA","SI","TRAILING BUOYS AND LINE. MULTIPLE RESIGHTS AS FAR NORTH AS SANTA CRUZ COUNTY. SEEN ACTIVELY FEEDING WITH OTHER BLUE WHALES THROUGH EARLY OCTOBER. FINAL SIGHTING WAS IN OCTOBER OFF OF LOS ANGELES. WHALE BODY CONDITION WAS DESCRIBED AS 'EMACIATED' IN AUGUST AND 'FAIR' IN OCTOBER. LINE WRAPPED AROUND BODY, 2 YELLOW BUOYS WITH BLUE TIPS, TRAILING 30 FEET BEHIND WHALE, SPACED 1 FM APART, PURPLE CDFW DUNGENESS CRAB BUOY TAG VISIBLE, VIDEO SHOWS ALGAE AND BARNACLE GROWTH ON ROPE AND BUOYS, COMPRESSION OF BUOYS. UNCERTAINTY OVER WHETHER LINE EXTENDS THROUGH MOUTH OR JUST OVER PECTORAL FLIPPERS. HEALTH DECLINE AND TWO CRISS-CROSSED CONSTRICTING MULTIPLE WRAPS OF LINE POSTERIOR OF DORSAL AROUND BODY WARRANTS SERIOUS INJURY.","SI","L2",1,"Y","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2016,8,15,"UNIDENTIFIED FISHERY INTERACTION","SAN FRANCISCO","CA","SI (PRORATE)","REPORT OF AN ENTANGLED WHALE NEAR THE FARALLON ISLANDS. AMOUNT OF GEAR AND CONFIGURATION UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2016,8,28,"UNIDENTIFIED FISHERY INTERACTION","MONTEREY","CA","SI (PRORATE)","TWO BLACK OR GREEN BUOYS WITH ABUNDANT MARINE GROWTH TRAILING BEHIND WHALE ABOUT 20-30 FEET. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"DEAD","BLUE WHALE","EASTERN N PACIFIC",2016,10,26,"VESSEL STRIKE","SAN MATEO","CA","DEAD","MODERATELY DECOMPOSED 65-FOOT LONG BLUE WHALE NECROPSIED. FINDINGS OF BLUNT FORCE TRAUMA. SOME UNCERTAINTY WHETHER OR NOT VESSEL STRIKE WAS POST-MORTEM.","DEAD",NA,1,"N","Y"
"DEAD","BLUE WHALE","EASTERN N PACIFIC",2017,5,25,"VESSEL STRIKE","MARIN","CA","DEAD","NECROPSY. BLUNT FORCE TRAUMA DUE TO A BOAT STRIKE. LEFT SIDE OF BODY WAS DAMAGED. FINDINGS INCLUDED 10 BROKEN RIBS AND 10 FRACTURED VERTEBRAE NEAR THE TAIL AND MID-BODY.","DEAD",NA,1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2017,6,10,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","SAN FRANCISCO","CA","SI (PRORATE)","TWO BUOYS ON RIGHT SIDE OF BODY, WITH LINE POSSIBLY EXTENDING TO MOUTH.  ONE BUOY HAD A RED/ORANGE TAG, THIS IS A CA DUNGENESS CRAB ENTANGLEMENT. ONE LARGER YELLOW BUOY WITH BLACK LONGITUDINAL STRIPE TRAILING OFF RIGHT SIDE, MID BODY, POSSIBLE MOUTH ENTANGLEMENT. ANIMAL LUNGING AT SURFACE, OBSERVERS REPORT IT MIGHT HAVE SELF-RELEASED, BUT BUOYS WERE NOT SEEN AGAIN. UNCERTAINTY REGARDING CONTINUED PRESENCE OF GEAR ON ANIMAL AND UNKNOWN CONFIGURATION WARRANTS PRORATED SERIOUS INJURY.","SI (PRORATE)","L10",0.75,"Y","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2017,8,19,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI (PRORATE)","BLUE LINE DRAPED OVER BACK OF WHALE DIAGONALLY, FROM ANTERIOR TO DORSAL FIN, TOWARDS MIDBODY. PHOTOS SHOW THAT PRIVATE VESSEL RETRIEVED, VIA CUTTING,  A LONG LENTGH OF BLUE LINE AND 2 LARGE BUMPER BUOYS. UNCLEAR IF GEAR REMAINS ON ANIMAL. GOOD BODY CONDITION. UNKNOWN GEAR CONFIGURATION AND AMOUNT.","SI (PRORATE)","L10",0.75,"Y","Y"
"UNKNOWN","BLUE WHALE","EASTERN N PACIFIC",2017,9,23,"UNIDENTIFIED FISHERY INTERACTION","SAN FRANCISCO","CA","SI (PRORATE)","BLUE WHALE TRAILING A SINGLE BUOY APPROXIMATELY 1.5 BODY LENGTHS BEHIND TAIL. ANIMAL WAS ACTIVELY SWIMMING. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
