"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"DEAD","BAIRD'S BEAKED WHALE","CALIFORNIA - OREGON - WASHINGTON",2016,8,29,"VESSEL STRIKE","MARIN","CA","DEAD","THE DISTAL END OF THE PEDUNCLE AND THE FLUKES HAD BEEN SEVERED OFF, LIKELY PERIMORTEM. STANDARD LENGTH MEASUREMENT IS TO THE SEVERED PEDUNCLE. LIMITED NECROPSY DUE TO THE LEVEL OF DECOMPOSITION.","DEAD","NA",1,"N","Y"
"DEAD","BLAINVILLE'S BEAKED WHALE","CALIFORNIA - OREGON - WASHINGTON",2016,10,9,"GILLNET FISHERY","CLALLAM","WA","DEAD","DETERMINED VIA EXTERNAL AND INTERNAL EXAM, HISTOLOGY. SEVERAL EVENLY SPACED (5CM BETWEEN EACH ""X"") CROSSHATCH MARKS ON FRONT OF ROSTRUM AND SIDES OF HEAD. THIN INDENTATIONS ON LEFT AND RIGHT SIDES OF BEAK THAT APPEAR TO WRAP AROUND BEAK. DIFFUSE BRUISING THROUGHOUT HEAD BLUBBER, SEVERE ON RIGHT SIDE BEHIND BLOWHOLE, WITH EDEMATOUS MUSCLE BENEATH. BODY BRUISING, PARTICULARLY ON ENTIRE VENTRAL SIDE OF THE ANIMAL AND ALONG THE TIPS OF THE DORSAL VERTEBRAL PROCESSES. EVIDENCE OF POSSIBLE DROWNING, CONFIRMED VIA HISTOLOGY. ALSO INGESTED 15CM LONG PIECE OF BLACK KNOTTED ROPE (3CM DIAMETER).","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,1,28,"VESSEL STRIKE","TILLAMOOK","OR","DEAD","CONTAINER SHIP REPORTED STRIKING A WHALE. ASSUME VESSEL SPEED EXCEEDED 10 KTS AND SIZE MUCH GREATER THAN WHALE.","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,8,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","CARCASS FLOATING IN HARBOR","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,13,"VESSEL STRIKE","VENTURA","CA","DEAD","CARCASS; VERTEBRAL COLUMN SEVERED IN LUMBAR/CAUDAL REGION; LARGE HEMATOMA EXTENDING FROM DORSAL FIN TO PECTORAL FIN ON LEFT LATERAL SIDE","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,19,"VESSEL STRIKE","SANTA BARBARA","CA","DEAD","CARCASS; CRANIAL RIBS, THORACIC VERTEBRAE AND CAUDAL SKULL FRACTURED","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,11,30,"VESSEL STRIKE","SANTA BARBARA","CA","DEAD","CARCASS; SEVERED RIGHT PECTORAL FIN","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2009,10,12,"VESSEL STRIKE","MONTEREY","CA","DEAD","FRACTURED VERTEBRAL BODIES, DORSAL AND TRANSVERSE PROCESSES, AND END PLATES; VERTEBRAE FRACTURED CAUDAL TO RIBS. SUBCUTANEOUS TISSUE AND MUSCLE HEMORRHAGING IN AREA OF VERTEBRAL TRAUMA.","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2009,10,19,"VESSEL STRIKE","MENDOCINO","CA","DEAD","HYDROGRAPHIC SURVEY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL. MORTALITY. TWO DEEP DIAGONAL PROPELLER-LIKE CUTS ACROSS BACK AND EXTENDING INTO VERTEBRAE AND INTERVERTEBRAL DISKS; TWO FRACTURED POSTERIOR VERTEBRAE.","DEAD","NA",1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2010,8,4,"VESSEL STRIKE","MONTEREY","CA","SI (PRORATE)","WHALEWATCH VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; REPORT IS OF ANIMAL STRUCK MID-BODY, DIVING FOLLOWING STRIKE. VESSEL SIZE ASSUMED >65 FT. AND SPEED UNKNOWN.","SI (PRORATE)","L7A",0.56,"N","Y"
