"Interaction.Type","cases","MSI.by.Interaction","MSI.CenAm.by.Interaction","MSI.CenAm.5yr.mean","MSI.MainMex.by.Interaction","MSI.MainMex.5yr.mean"
"BOX CRAB POT FISHERY (CALIFORNIA - EXPERIMENTAL)",1,1,0.42,0.084,0.58,0.12
"CA LOBSTER TRAP / POT  ENTANGLEMENT",1,1,0.42,0.084,0.58,0.12
"CA SPOT PRAWN TRAP FISHERY",3,2.5,1.1,0.22,1.4,0.28
"CA SWORDFISH DRIFT GILLNET FISHERY",2,0.75,0.32,0.064,0.43,0.086
"DUNGENESS CRAB POT FISHERY (CALIFORNIA)",17,13,5.5,1.1,7.5,1.5
"DUNGENESS CRAB POT FISHERY (COMMERCIAL)",3,2.75,1.2,0.24,1.6,0.32
"DUNGENESS CRAB POT FISHERY (OREGON)",5,4.5,1.9,0.38,2.6,0.52
"DUNGENESS CRAB POT FISHERY (RECREATIONAL)",1,0,0,0,0,0
"DUNGENESS CRAB POT FISHERY (WASHINGTON COASTAL)",1,1,0.059,0.012,0.25,0.05
"DUNGENESS CRAB POT FISHERY (WASHINGTON)",7,5.25,1,0.2,2,0.4
"GILLNET FISHERY",6,4,1.7,0.34,2.3,0.46
"GILLNET FISHERY, TRIBAL",3,2.5,0.15,0.03,0.64,0.13
"HOOK AND LINE FISHERY",2,1.5,0.63,0.13,0.87,0.17
"OPEN ACCESS FIXED GEAR HOOK AND LINE",1,0.75,0.32,0.064,0.43,0.086
"SPOT PRAWN TRAP/POT FISHERY (RECREATIONAL)",1,0,0,0,0,0
"UNIDENTIFIED FISHERY INTERACTION",43,32,12,2.4,17,3.4
"UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT",13,9.75,3.2,0.64,4.8,0.96
"VESSEL STRIKE",10,10,2,0.4,3.8,0.76
