"","Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"1","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,1,28,"VESSEL STRIKE","TILLAMOOK","OR","DEAD","CONTAINER SHIP REPORTED STRIKING A WHALE. ASSUME VESSEL SPEED EXCEEDED 10 KTS AND SIZE MUCH GREATER THAN WHALE.","DEAD","NA",1,"N","Y"
"2","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,8,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","CARCASS FLOATING IN HARBOR","DEAD","NA",1,"N","Y"
"3","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,13,"VESSEL STRIKE","VENTURA","CA","DEAD","CARCASS; VERTEBRAL COLUMN SEVERED IN LUMBAR/CAUDAL REGION; LARGE HEMATOMA EXTENDING FROM DORSAL FIN TO PECTORAL FIN ON LEFT LATERAL SIDE","DEAD","NA",1,"N","Y"
"4","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,9,19,"VESSEL STRIKE","SANTA BARBARA","CA","DEAD","CARCASS; CRANIAL RIBS, THORACIC VERTEBRAE AND CAUDAL SKULL FRACTURED","DEAD","NA",1,"N","Y"
"5","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2007,11,30,"VESSEL STRIKE","SANTA BARBARA","CA","DEAD","CARCASS; SEVERED RIGHT PECTORAL FIN","DEAD","NA",1,"N","Y"
"6","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2009,10,12,"VESSEL STRIKE","MONTEREY","CA","DEAD","FRACTURED VERTEBRAL BODIES, DORSAL AND TRANSVERSE PROCESSES, AND END PLATES; VERTEBRAE FRACTURED CAUDAL TO RIBS. SUBCUTANEOUS TISSUE AND MUSCLE HEMORRHAGING IN AREA OF VERTEBRAL TRAUMA.","DEAD","NA",1,"N","Y"
"7","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2009,10,19,"VESSEL STRIKE","MENDOCINO","CA","DEAD","HYDROGRAPHIC SURVEY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL. MORTALITY. TWO DEEP DIAGONAL PROPELLER-LIKE CUTS ACROSS BACK AND EXTENDING INTO VERTEBRAE AND INTERVERTEBRAL DISKS; TWO FRACTURED POSTERIOR VERTEBRAE.","DEAD","NA",1,"N","Y"
"8","UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2010,8,4,"VESSEL STRIKE","MONTEREY","CA","SI (PRORATE)","WHALEWATCH VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; REPORT IS OF ANIMAL STRUCK MID-BODY, DIVING FOLLOWING STRIKE. VESSEL SIZE ASSUMED >65 FT. AND SPEED UNKNOWN.","SI (PRORATE)","L7A",0.56,"N","Y"
"9","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2010,8,25,"VESSEL STRIKE","SANTA BARBARA","CA","DEAD","MULTIPLE FRAGMENTS OF VERTEBRAE AND RIBS IN ABDOMINAL CAVITY","DEAD","NA",1,"N","Y"
"10","DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2010,10,2,"VESSEL STRIKE","SAN MATEO","CA","DEAD","BROKEN BONES AND HEMORRHAGE CONSISTENT WITH VESSEL STRIKE","DEAD","NA",1,"N","Y"
