"","Var1","Var2","Freq"
"129","GILLNET FISHERY","BLAINVILLE'S BEAKED WHALE",1
"215","DUNGENESS CRAB POT FISHERY (CALIFORNIA)","BLUE WHALE",3
"274","UNIDENTIFIED FISHERY INTERACTION","BLUE WHALE",6
"279","UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT","BLUE WHALE",1
"299","CA LOBSTER TRAP / POT  ENTANGLEMENT","BOTTLENOSE DOLPHIN",1
"301","CA SWORDFISH DRIFT GILLNET FISHERY","BOTTLENOSE DOLPHIN",2
"333","LIMITED ENTRY FIXED GEAR HOOK AND LINE","BOTTLENOSE DOLPHIN",1
"372","UNIDENTIFIED NET FISHERY","BOTTLENOSE DOLPHIN",1
"485","AT-SEA HAKE PELAGIC TRAWL","CALIFORNIA SEA LION",5
"490","CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","CALIFORNIA SEA LION",98
"491","CA LOBSTER TRAP / POT  ENTANGLEMENT","CALIFORNIA SEA LION",1
"493","CA SWORDFISH DRIFT GILLNET FISHERY","CALIFORNIA SEA LION",47
"494","CATCH SHARES BOTTOM TRAWL","CALIFORNIA SEA LION",108
"495","CATCH SHARES HOOK AND LINE","CALIFORNIA SEA LION",12
"497","CATCHER PROCESSOR MIDWATER TRAWL","CALIFORNIA SEA LION",110
"499","CRAB POT FISHERY/HOOK AND LINE FISHERY","CALIFORNIA SEA LION",1
"511","ENTRAPMENT","CALIFORNIA SEA LION",1
"513","GILLNET FISHERY","CALIFORNIA SEA LION",166
"514","GILLNET FISHERY, TRIBAL","CALIFORNIA SEA LION",466
"517","HAKE MIDWATER TRAWL","CALIFORNIA SEA LION",3
"521","HOOK AND LINE FISHERY","CALIFORNIA SEA LION",634
"523","LIMITED ENTRY CA HALIBUT BOTTOM TRAWL","CALIFORNIA SEA LION",4
"526","LIMITED ENTRY SABLEFISH HOOK AND LINE","CALIFORNIA SEA LION",21
"527","LIMITED ENTRY TRAWL BOTTOM TRAWL","CALIFORNIA SEA LION",8
"528","LIMITED ENTRY TRAWL HOOK AND LINE","CALIFORNIA SEA LION",2
"529","LONGLINE FISHERY, TRIBAL","CALIFORNIA SEA LION",3
"533","MIDWATER TRAWL ROCKFISH EM","CALIFORNIA SEA LION",1
"534","MS CATCHER VESSELS MIDWATER TRAWL","CALIFORNIA SEA LION",22
"535","NEARSHORE HOOK AND LINE","CALIFORNIA SEA LION",1
"537","OPEN ACCESS CA HALIBUT BOTTOM TRAWL","CALIFORNIA SEA LION",72
"538","OPEN ACCESS FIXED GEAR HOOK AND LINE","CALIFORNIA SEA LION",3
"543","RIDGEBACK PRAWN BOTTOM TRAWL","CALIFORNIA SEA LION",2
"549","SEA CUCUMBER BOTTOM TRAWL","CALIFORNIA SEA LION",1
"554","SHORESIDE HAKE MIDWATER TRAWL","CALIFORNIA SEA LION",1
"559","TRAWL FISHERY UNIDENTIFIED","CALIFORNIA SEA LION",1
